difficulty,topics,aj_level,title_ar,title_en,words,unknown,coverage_pct,unknown_per_100,publisher_glossed,tashkeel,video,url
1,education|travel|literature|technology,Introductory,جامِعَةُ سَلْجُوق تَدَرِّسُ مَوقع الجزيرة لتعلم العربية,Selçuk University uses Al-Jazeera Learning Arabi,39,6,80.0,20.0,0,Y,Y,https://learning.aljazeera.net/en/generallanguage/%D8%AC%D8%A7%D9%85%D8%B9%D8%A9-%D8%B3%D9%84%D8%AC%D9%88%D9%82-%D8%AA%D8%AF%D8%B1%D8%B3-%D9%85%D9%88%D9%82%D8%B9-%D8%A7%D9%84%D8%AC%D8%B2%D9%8A%D8%B1%D8%A9-%D9%84%D8%AA%D8%B9%D9%84%D9%85-%D8%A7%D9%84%D8%B9%D8%B1%D8%A8%D9%8A%D8%A9
1,society|sports,Elementary,الْيَوْمُ الرِّياضِيُّ فِي قَطَرَ,Sports Day in Qatar,77,15,80.5,19.5,3,,,https://learning.aljazeera.net/en/languageofmedia/%D8%A7%D9%84%D9%8A%D9%88%D9%85-%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6%D9%8A-%D9%81%D9%8A-%D9%82%D8%B7%D8%B1
1,politics,Intermediate,مُبادَرَةٌ لِإِرْساء السَّلامِ فِي لِيبْيَا,An initiative to establish peace in Libya,73,16,77.8,22.2,3,Y,,https://learning.aljazeera.net/en/languageofmedia/%D9%85%D8%A8%D8%A7%D8%AF%D8%B1%D8%A9-%D9%84%D8%A5%D8%B1%D8%B3%D8%A7%D8%A1-%D8%A7%D9%84%D8%B3%D9%84%D8%A7%D9%85-%D9%81%D9%8A-%D9%84%D9%8A%D8%A8%D9%8A%D8%A7
1,culture|travel|society,Introductory,أَهْلًا بِكُمْ في مَقْهَى الجَزِيرَة مَعَ الفَنّانِ عَبْدِ الفَتّاحِ عوينات,welcome to Al Jazeera Cafe,104,13,79.4,20.6,1,Y,Y,https://learning.aljazeera.net/en/languageofmedia/%D8%A3%D9%87%D9%84%D8%A7-%D8%A8%D9%83%D9%85-%D9%81%D9%8A-%D9%85%D9%82%D9%87%D9%89-%D8%A7%D9%84%D8%AC%D8%B2%D9%8A%D8%B1%D8%A9-%D8%A7%D9%84%D8%AD%D9%84%D9%82%D8%A9-2
1,travel,Introductory,السِّياحَةُ بِالْـمَنازِلِ المُتَحَرِّكَةِ,Caravan tourism,163,27,78.9,21.1,2,Y,Y,https://learning.aljazeera.net/en/languageofmedia/%D8%A7%D9%84%D8%B3%D9%8A%D8%A7%D8%AD%D8%A9-%D8%A8%D8%A7%D9%84%D9%85%D9%86%D8%A7%D8%B2%D9%84-%D8%A7%D9%84%D9%85%D8%AA%D8%AD%D8%B1%D9%83%D8%A9-%D9%81%D9%8A-%D8%A5%D8%B3%D8%A8%D8%A7%D9%86%D9%8A%D8%A7
1,health,Introductory,حَجْزُ مَوْعِدٍ طِبِّيٍّ,Booking an appointment,363,26,75.7,24.3,8,Y,Y,https://learning.aljazeera.net/en/generallanguage/%D8%AD%D8%AC%D8%B2-%D9%85%D9%88%D8%B9%D8%AF-%D8%B7%D8%A8%D9%8A
1,technology,Intermediate,الصِّينُ تَسْتَخْدِمُ الرُّوبوتاتِ قُضاةً,China uses robots as judges,83,15,81.9,18.1,0,,,https://learning.aljazeera.net/en/languageofmedia/%D8%A7%D9%84%D8%B5%D9%8A%D9%86-%D8%AA%D8%B3%D8%AA%D8%AE%D8%AF%D9%85-%D8%A7%D9%84%D8%B1%D9%88%D8%A8%D9%88%D8%AA%D8%A7%D8%AA-%D9%83%D9%82%D8%B6%D8%A7%D8%A9
1,health|food,Elementary,خَمْسُ ‫نَصَائِحَ لِنَوْمٍ مُرِيحٍ,Five tips for a good night’s sleep,27,6,77.8,22.2,1,,,https://learning.aljazeera.net/en/languageofmedia/%D8%AE%D9%85%D8%B3-%D9%86%D8%B5%D8%A7%D8%A6%D8%AD-%D9%84%D9%86%D9%88%D9%85-%D9%85%D8%B1%D9%8A%D8%AD
1,society|education,Introductory,يَوْمِيّاتُ عائِلَةٍ مَغْرِبِيَّةٍ فِي الحَجْرِ المَنْزِلِيّ,The quarantine diaries of a Moroccan family,115,24,73.6,26.4,7,Y,Y,https://learning.aljazeera.net/en/languageofmedia/%D9%8A%D9%88%D9%85%D9%8A%D8%A7%D8%AA-%D8%B9%D8%A7%D8%A6%D9%84%D8%A9-%D9%85%D8%BA%D8%B1%D8%A8%D9%8A%D8%A9-%D9%81%D9%8A-%D8%A7%D9%84%D8%AD%D8%AC%D8%B1-%D8%A7%D9%84%D9%85%D9%86%D8%B2%D9%84%D9%8A
1,health|technology,Intermediate,فَيسْبُوك قَدْ يَكُونُ مُضِرًّا بِصِحَّتِكَ,Facebook can be bad for your health,88,19,78.2,21.8,1,Y,,https://learning.aljazeera.net/en/languageofmedia/%D9%81%D9%8A%D8%B3%D8%A8%D9%88%D9%83-%D9%82%D8%AF-%D9%8A%D9%83%D9%88%D9%86-%D9%85%D8%B6%D8%B1%D8%A7-%D8%A8%D8%B5%D8%AD%D8%AA%D9%83
1,health|science,Intermediate,كَيْفَ تَتَأَكَّدُ من صِحَّةِ الْأَخْبَارِ الطّبّيَّةِ؟,How to check the health news?,78,16,79.5,20.5,2,,,https://learning.aljazeera.net/en/languageofmedia/%D9%83%D9%8A%D9%81-%D8%AA%D8%AA%D8%A3%D9%83%D8%AF-%D9%85%D9%86-%D8%B5%D8%AD%D8%A9-%D8%A7%D9%84%D8%A3%D8%AE%D8%A8%D8%A7%D8%B1-%D8%A7%D9%84%D8%B7%D8%A8%D9%8A%D8%A9
1,health|society|science,Intermediate,طُولُ السَّهَرِ مُضِرٌّ بِالصِّحَّةِ وَالْعُمْرِ,"Staying up late, harmful for health and life",110,24,78.0,22.0,1,Y,,https://learning.aljazeera.net/en/languageofmedia/%D8%B7%D9%88%D9%84-%D8%A7%D9%84%D8%B3%D9%87%D8%B1-%D9%85%D8%B6%D8%B1-%D8%A8%D8%A7%D9%84%D8%B5%D8%AD%D8%A9-%D9%88%D8%A7%D9%84%D8%B9%D9%85%D8%B1
1,health,Intermediate,ما سَبَبُ الدُّوَارِ بَعْدَ النُّهُوضِ مِنَ الفِرَاشِ؟,What causes dizziness after getting out of bed?,101,25,75.0,25.0,5,Y,,https://learning.aljazeera.net/en/languageofmedia/%D9%85%D8%A7-%D8%B3%D8%A8%D8%A8-%D8%A7%D9%84%D8%AF%D9%88%D8%A7%D8%B1-%D8%A8%D8%B9%D8%AF-%D8%A7%D9%84%D9%86%D9%87%D9%88%D8%B6-%D9%85%D9%86-%D8%A7%D9%84%D9%81%D8%B1%D8%A7%D8%B4
1,health,Intermediate,نَصَائِحُ لِـمُواجَهَةِ التَّسْوِيفِ,Tips to overcome procrastination,124,25,79.8,20.2,2,,,https://learning.aljazeera.net/en/languageofmedia/%D9%86%D8%B5%D8%A7%D8%A6%D8%AD-%D9%84%D9%84%D8%AA%D8%BA%D9%84%D8%A8-%D8%B9%D9%84%D9%89-%D8%A7%D9%84%D8%AA%D8%B3%D9%88%D9%8A%D9%81
1,health|technology,Intermediate,جِهَازُ الْمَنَاعَةِ.. دِرْعُ الْجِسْمِ,The immune system: the shield of the body,56,15,72.7,27.3,3,Y,,https://learning.aljazeera.net/en/languageofmedia/%D8%AC%D9%87%D8%A7%D8%B2-%D8%A7%D9%84%D9%85%D9%86%D8%A7%D8%B9%D8%A9-%D8%AF%D8%B1%D8%B9-%D8%A7%D9%84%D8%AC%D8%B3%D9%85
1,society,Introductory,أزهار على أبواب القدس,Flowers at the gates of Al-Quds,132,28,75.4,24.6,4,Y,Y,https://learning.aljazeera.net/en/articles/pages/21786
1,health,Intermediate,مَا هُوَ تَوَهُّمُ الْمَرَضِ؟,What is hypochondria?,80,17,78.8,21.2,2,,,https://learning.aljazeera.net/en/languageofmedia/%D9%85%D8%A7-%D9%87%D9%88-%D8%AA%D9%88%D9%87%D9%85-%D8%A7%D9%84%D9%85%D8%B1%D8%B6
1,culture|literature|travel|religion,Intermediate,رِحْلَةُ الْخَطِّ الْعَرَبِيِّ فِي الصِّينِ,Arabic calligraphy in China,207,49,76.1,23.9,5,Y,,https://learning.aljazeera.net/en/languageofmedia/%D8%B1%D8%AD%D9%84%D8%A9-%D8%A7%D9%84%D8%AE%D8%B7-%D8%A7%D9%84%D8%B9%D8%B1%D8%A8%D9%8A-%D9%81%D9%8A-%D8%A7%D9%84%D8%B5%D9%8A%D9%86
1,health,Intermediate,6 عَلاماتٍ تُنْذِرُ بِالْخَلَلِ الهُرْمُونِيِّ,6 signs of hormonal imbalance,93,19,79.6,20.4,1,,,https://learning.aljazeera.net/en/languageofmedia/6-%D8%B9%D9%84%D8%A7%D9%85%D8%A7%D8%AA-%D8%AA%D9%86%D8%B0%D8%B1-%D8%A8%D8%A7%D9%84%D8%AE%D9%84%D9%84-%D8%A7%D9%84%D9%87%D8%B1%D9%85%D9%88%D9%86%D9%8A
1,literature|politics,Intermediate,اليَوْمُ العَالَمِيُّ لِ​لُّغَةِ العَرَبِيَّةِ,World Arabic Language Day,96,22,76.1,23.9,2,Y,,https://learning.aljazeera.net/en/languageofmedia/%E2%80%8B%D8%A7%D9%84%D9%84%D8%BA%D8%A9-%D8%A7%D9%84%D8%B9%D8%B1%D8%A8%D9%8A%D8%A9-%D9%81%D9%8A-%D9%8A%D9%88%D9%85%D9%87%D8%A7-%D8%A7%D9%84%D8%B9%D8%A7%D9%84%D9%85%D9%8A
1,travel,Introductory,فِي الْفُنْدُق,At the hotel,405,26,78.2,21.8,1,Y,Y,https://learning.aljazeera.net/en/languageofmedia/%D9%81%D9%8A-%D8%A7%D9%84%D9%81%D9%86%D8%AF%D9%82-1
1,economy|society,Intermediate,ارْتِفَاعُ مُعَدَّلَاتِ البِطَالَةِ فِي الْأُرْدُنِّ,Unemployment in Jordan rises to 18%,82,17,79.3,20.7,1,,,https://learning.aljazeera.net/en/languageofmedia/%D8%A7%D8%B1%D8%AA%D9%81%D8%A7%D8%B9-%D9%85%D8%B9%D8%AF%D9%84%D8%A7%D8%AA-%D8%A7%D9%84%D8%A8%D8%B7%D8%A7%D9%84%D8%A9-%D9%81%D9%8A-%D8%A7%D9%84%D8%A3%D8%B1%D8%AF%D9%86
1,health|science,Intermediate,سِتُّ مَعْلُومَاتٍ مَغْلُوطَةٍ عَنِ السَّرَطَانِ,Six myths about cancer that are false,110,24,78.2,21.8,3,,,https://learning.aljazeera.net/en/languageofmedia/%D8%B3%D8%AA-%D9%85%D8%B9%D9%84%D9%88%D9%85%D8%A7%D8%AA-%D9%85%D8%BA%D9%84%D9%88%D8%B7%D8%A9-%D8%B9%D9%86-%D8%A7%D9%84%D8%B3%D8%B1%D8%B7%D8%A7%D9%86
1,religion,Intermediate,رَجُلٌ يُسْلِمُ بِسَمَاعِ الْأَذَانِ,Converted to Islam after hearing Adhan,89,21,76.4,23.6,1,Y,,https://learning.aljazeera.net/en/languageofmedia/%D8%B1%D8%AC%D9%84-%D9%8A%D8%B3%D9%84%D9%85-%D8%A8%D8%B3%D9%85%D8%A7%D8%B9-%D8%A7%D9%84%D8%A3%D8%B0%D8%A7%D9%86
1,education|travel|literature|technology,Intermediate,مَعْهَدُ الجَزيرَةِ لِلْإِعْلامِ يُشارِكُ فِي مُؤْتَمَرِ الدَّوْحَةِ لِلتَّعْلِيمِ,participates in the Doha Education Conference,146,37,73.6,26.4,7,Y,,https://learning.aljazeera.net/en/languageofmedia/%D9%85%D8%B9%D9%87%D8%AF-%D8%A7%D9%84%D8%AC%D8%B2%D9%8A%D8%B1%D8%A9-%D9%84%D9%84%D8%A5%D8%B9%D9%84%D8%A7%D9%85-%D9%8A%D8%B4%D8%A7%D8%B1%D9%83-%D9%81%D9%8A-%D9%85%D8%A4%D8%AA%D9%85%D8%B1-%D8%A7%D9%84%D8%AF%D9%88%D8%AD%D8%A9-%D9%84%D9%84%D8%AA%D8%B9%D9%84%D9%8A%D9%85
1,economy|culture,Intermediate,انْخِفاضُ النّاتِج العَرَبِيّ المَحَلِّيّ الإجْمَالِيّ,The GDP of the Arab countries falls by 10%,79,16,79.7,20.3,0,,,https://learning.aljazeera.net/en/languageofmedia/%D8%A7%D9%86%D8%AE%D9%81%D8%A7%D8%B6-%D8%A7%D9%84%D9%86%D8%A7%D8%AA%D8%AC-%D8%A7%D9%84%D8%B9%D8%B1%D8%A8%D9%8A-%D8%A7%D9%84%D9%85%D8%AD%D9%84%D9%8A-%D8%A7%D9%84%D8%A5%D8%AC%D9%85%D8%A7%D9%84%D9%8A
1,economy,Intermediate,أُوبّك تَجْتَمِعُ لِتَمْدِيدِ تَخْفِيضَاتِ الْإِنْتَاج,OPEC meets to extend production cuts,90,25,71.9,28.1,6,Y,,https://learning.aljazeera.net/en/languageofmedia/%D8%A3%D9%88%D8%A8%D9%83-%D8%AA%D8%AC%D8%AA%D9%85%D8%B9-%D9%84%D8%AA%D9%85%D8%AF%D9%8A%D8%AF-%D8%AA%D8%AE%D9%81%D9%8A%D8%B6%D8%A7%D8%AA-%D8%A7%D9%84%D8%A5%D9%86%D8%AA%D8%A7%D8%AC
1,literature,Intermediate,الْيَوْمُ الْعَالَـمِيُّ لِلُّغَةِ الْعَرَبِيَّةِ,World Arabic Language Day,104,26,74.8,25.2,2,Y,,https://learning.aljazeera.net/en/languageofmedia/%D8%A7%D8%AD%D8%AA%D9%81%D8%A7%D9%84%D8%A7%D8%AA-%D8%B9%D8%A7%D9%84%D9%85%D9%8A%D8%A9-%D8%A8%D9%8A%D9%88%D9%85-%D8%A7%D9%84%D9%84%D8%BA%D8%A9-%D8%A7%D9%84%D8%B9%D8%B1%D8%A8%D9%8A%D8%A9
1,literature|society,Intermediate,فِي بَغْدَادَ.. خَيْرُ جَلِيسٍ لِلشَّبَابِ كِتَاب,"In Baghdad, the best companion is a book",126,31,74.4,25.6,3,Y,,https://learning.aljazeera.net/en/languageofmedia/%D9%81%D9%8A-%D8%A8%D8%BA%D8%AF%D8%A7%D8%AF-%D8%AE%D9%8A%D8%B1-%D8%AC%D9%84%D9%8A%D8%B3-%D9%84%D9%84%D8%B4%D8%A8%D8%A7%D8%A8-%D9%83%D8%AA%D8%A7%D8%A8
1,environment|culture|literature|society,Intermediate,"حَديقةُ ""تامان ميني"" بإندونيسيا مرْآةُ تَنوُّعٍ وثَراء","Indonesia: Taman Mini, a mirror of riches",149,39,73.6,26.4,5,Y,,https://learning.aljazeera.net/en/languageofmedia/%D8%AA%D8%A7%D9%85%D8%A7%D9%86-%D9%85%D9%8A%D9%86%D9%8A-%D8%A8%D8%A5%D9%86%D8%AF%D9%88%D9%86%D9%8A%D8%B3%D9%8A%D8%A7-%D9%85%D8%B1%D8%A2%D8%A9-%D8%AA%D9%86%D9%88%D8%B9-%D9%88%D8%AB%D8%B1%D8%A7%D8%A1
1,technology|travel|literature,Intermediate,مَعْهد الجزيرة لِلإعلام يُطْلق مَوقعه الإلكتروني الجديد,AJ Media Institute inaugurates its new website,131,36,72.1,27.9,7,Y,,https://learning.aljazeera.net/en/languageofmedia/%D9%85%D8%B9%D9%87%D8%AF-%D8%A7%D9%84%D8%AC%D8%B2%D9%8A%D8%B1%D8%A9-%D9%84%D9%84%D8%A5%D8%B9%D9%84%D8%A7%D9%85-%D9%8A%D8%B7%D9%84%D9%82-%D9%85%D9%88%D9%82%D8%B9%D9%87-%D8%A7%D9%84%D8%A5%D9%84%D9%83%D8%AA%D8%B1%D9%88%D9%86%D9%8A-%D8%A7%D9%84%D8%AC%D8%AF%D9%8A%D8%AF
1,culture,Elementary,الْمَتَاحِفُ الْخَاصَّةُ فِي تُرْكِيَا,Private museums in Turkey,63,15,76.2,23.8,1,,,https://learning.aljazeera.net/en/languageofmedia/%D8%A7%D9%84%D9%85%D8%AA%D8%A7%D8%AD%D9%81-%D8%A7%D9%84%D8%AE%D8%A7%D8%B5%D8%A9-%D9%81%D9%8A-%D8%AA%D8%B1%D9%83%D9%8A%D8%A7
1,religion,Intermediate,الْمُسْلِمُونَ يَحْتَفِلُونَ بِعِيدِ الْأَضْحَى,Muslims celebrate Eid-El Adha,51,15,70.0,30.0,3,Y,,https://learning.aljazeera.net/en/languageofmedia/%D8%A7%D9%84%D9%85%D8%B3%D9%84%D9%85%D9%88%D9%86-%D9%8A%D8%AD%D8%AA%D9%81%D9%84%D9%88%D9%86-%D8%A8%D8%B9%D9%8A%D8%AF-%D8%A7%D9%84%D8%A3%D8%B6%D8%AD%D9%89-1
1,society|technology,Introductory,شَقَّةٌ لِلْإِيجارِ,apartment for rent,226,47,73.7,26.3,5,Y,Y,https://learning.aljazeera.net/en/languageofmedia/%D8%A5%D9%8A%D8%AC%D8%A7%D8%B1-%D8%B4%D9%82%D8%A9
1,technology,Elementary,سُتْرَةٌ ذَكِيَّةٌ لِلرِّيَاضِيِّينَ,"A ""smart"" vest for athletes",29,8,72.4,27.6,2,,,https://learning.aljazeera.net/en/languageofmedia/%D8%B3%D8%AA%D8%B1%D8%A9-%D8%B0%D9%83%D9%8A%D8%A9-%D9%84%D9%84%D8%B1%D9%8A%D8%A7%D8%B6%D9%8A%D9%8A%D9%86
1,literature|health|economy,Intermediate,وَفَاةُ الْكَاتِبِ التُّرْكِيِّ يَشَار كَمَال,Death of Turkish author Yasar Kemal,69,19,72.1,27.9,2,Y,,https://learning.aljazeera.net/en/languageofmedia/%D9%88%D9%81%D8%A7%D8%A9-%D8%A7%D9%84%D9%83%D8%A7%D8%AA%D8%A8-%D8%A7%D9%84%D8%AA%D8%B1%D9%83%D9%8A-%D9%8A%D8%B4%D8%A7%D8%B1-%D9%83%D9%85%D8%A7%D9%84
1,literature|society,Intermediate,اللُّغَةُ الْعَرَبِيَّةُ الْفُصْحَى تَتَرَاجَعُ,Classical Arabic losing ground,129,34,73.6,26.4,9,,,https://learning.aljazeera.net/en/languageofmedia/%D8%A7%D9%84%D9%84%D8%BA%D8%A9-%D8%A7%D9%84%D8%B9%D8%B1%D8%A8%D9%8A%D8%A9-%D8%A7%D9%84%D9%81%D8%B5%D8%AD%D9%89-%D8%AA%D8%AA%D8%B1%D8%A7%D8%AC%D8%B9
1,travel,Introductory,فِي مَكْتَبِ الجَوازَات,At the Passport Office,206,18,71.0,29.0,4,Y,Y,https://learning.aljazeera.net/en/generallanguage/%D9%81%D9%8A-%D9%85%D9%83%D8%AA%D8%A8-%D8%A7%D9%84%D8%AC%D9%88%D8%A7%D8%B2%D8%A7%D8%AA
1,economy|society,Introductory,كَيْفَ تُدِيرُ مِيزَانِيّةَ أُسْرَتِك؟,How to manage your family budget?,95,23,73.9,26.1,2,Y,Y,https://learning.aljazeera.net/en/languageofmedia/%D9%83%D9%8A%D9%81-%D8%AA%D8%AF%D9%8A%D8%B1-%D9%85%D9%8A%D8%B2%D8%A7%D9%86%D9%8A%D8%A9-%D8%A3%D8%B3%D8%B1%D8%AA%D9%83
1,technology|society|health|science|food,Intermediate,السَّمَكُ يُحَسِّنُ نَوْمَ الطِّفْلِ وَيَزِيدُ ذَكاءَهُ,Fish improves children’s sleep and intelligence,115,28,74.8,25.2,1,Y,,https://learning.aljazeera.net/en/languageofmedia/%D8%A7%D9%84%D8%B3%D9%85%D9%83-%D9%8A%D8%AD%D8%B3%D9%86-%D9%86%D9%88%D9%85-%D8%A7%D9%84%D8%B7%D9%81%D9%84-%D9%88%D9%8A%D8%B2%D9%8A%D8%AF-%D8%B0%D9%83%D8%A7%D8%A1%D9%87
1,health|technology|society,Intermediate,إِدْمَانُ الْإِنْتَرْنَت,Internet addiction disorder,88,22,74.4,25.6,1,Y,,https://learning.aljazeera.net/en/languageofmedia/%D8%A5%D8%AF%D9%85%D8%A7%D9%86-%D8%A7%D9%84%D8%A5%D9%86%D8%AA%D8%B1%D9%86%D8%AA
1,sports|education|technology|literature,Intermediate,انْطِلَاقُ مُنَاظَرَاتِ قَطَرَ لِلْمَدَارِسِ,Qatardebate launches schools 2018 championship,112,31,72.1,27.9,5,Y,,https://learning.aljazeera.net/en/languageofmedia/%D8%A7%D9%86%D8%B7%D9%84%D8%A7%D9%82-%D9%85%D9%86%D8%A7%D8%B8%D8%B1%D8%A7%D8%AA-%D9%82%D8%B7%D8%B1-%D9%84%D9%84%D9%85%D8%AF%D8%A7%D8%B1%D8%B3
1,technology,Intermediate,القِيَادَةُ أَكْثَر مِن سَاعَتَيْن تُقَلِّلُ الذَّكَاء,Driving more than two hours a day reduces IQ,100,22,78.0,22.0,0,,,https://learning.aljazeera.net/en/languageofmedia/%D8%A7%D9%84%D9%82%D9%8A%D8%A7%D8%AF%D8%A9-%D8%A3%D9%83%D8%AB%D8%B1-%D9%85%D9%86-%D8%B3%D8%A7%D8%B9%D8%AA%D9%8A%D9%86-%D8%AA%D9%82%D9%84%D9%84-%D8%A7%D9%84%D8%B0%D9%83%D8%A7%D8%A1-1
1,politics,Intermediate,الأُمَمُ المُتَّحِدَة تَحْظُرُ الأَسْلِحَة النَّوَوِيّة,United Nations ban nuclear weapons,104,25,76.0,24.0,3,,,https://learning.aljazeera.net/en/languageofmedia/%D8%A7%D9%84%D8%A3%D9%85%D9%85-%D8%A7%D9%84%D9%85%D8%AA%D8%AD%D8%AF%D8%A9-%D8%AA%D8%AD%D8%B8%D8%B1-%D8%A7%D9%84%D8%A3%D8%B3%D9%84%D8%AD%D8%A9-%D8%A7%D9%84%D9%86%D9%88%D9%88%D9%8A%D8%A9
2,technology,Intermediate,كَيْفَ تَخْتَارُ كَلِمَةَ مُرُورٍ آمِنَةً؟,How to choose a secure password?,98,25,74.2,25.8,1,Y,,https://learning.aljazeera.net/en/languageofmedia/%D9%83%D9%8A%D9%81-%D8%AA%D8%AE%D8%AA%D8%A7%D8%B1-%D9%83%D9%84%D9%85%D8%A9-%D9%85%D8%B1%D9%88%D8%B1-%D8%A2%D9%85%D9%86%D8%A9
